Model,Criterion,Max Depth,Accuracy,Precision,Recall,F1 Score
Decision Tree,entropy,10.0,0.746031746031746,0.7251908396946565,0.7723577235772358,0.7480314960629921
Decision Tree,entropy,15.0,0.746031746031746,0.736,0.7479674796747967,0.7419354838709677
Decision Tree,entropy,20.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,30.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,50.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,gini,,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,5.0,0.8015873015873016,0.7295597484276729,0.943089430894309,0.8226950354609929
Decision Tree,gini,10.0,0.7698412698412699,0.7372262773722628,0.8211382113821138,0.7769230769230769
Decision Tree,gini,15.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,20.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,30.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,50.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,entropy,,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,5.0,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
Decision Tree,entropy,10.0,0.746031746031746,0.7251908396946565,0.7723577235772358,0.7480314960629921
Decision Tree,entropy,15.0,0.746031746031746,0.736,0.7479674796747967,0.7419354838709677
Decision Tree,entropy,20.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,30.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,50.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,gini,,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,5.0,0.8015873015873016,0.7295597484276729,0.943089430894309,0.8226950354609929
Decision Tree,gini,10.0,0.7698412698412699,0.7372262773722628,0.8211382113821138,0.7769230769230769
Decision Tree,gini,15.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,20.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,30.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,50.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,entropy,,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,5.0,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
Decision Tree,entropy,10.0,0.746031746031746,0.7251908396946565,0.7723577235772358,0.7480314960629921
Decision Tree,entropy,15.0,0.746031746031746,0.736,0.7479674796747967,0.7419354838709677
Decision Tree,entropy,20.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,30.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,50.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,gini,,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,5.0,0.8015873015873016,0.7295597484276729,0.943089430894309,0.8226950354609929
Decision Tree,gini,10.0,0.7698412698412699,0.7372262773722628,0.8211382113821138,0.7769230769230769
Decision Tree,gini,15.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,20.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,30.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,50.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,entropy,,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,5.0,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
Decision Tree,entropy,10.0,0.746031746031746,0.7251908396946565,0.7723577235772358,0.7480314960629921
Decision Tree,entropy,15.0,0.746031746031746,0.736,0.7479674796747967,0.7419354838709677
Decision Tree,entropy,20.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,30.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,50.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,gini,,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,5.0,0.8015873015873016,0.7295597484276729,0.943089430894309,0.8226950354609929
Decision Tree,gini,10.0,0.7698412698412699,0.7372262773722628,0.8211382113821138,0.7769230769230769
Decision Tree,gini,15.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,20.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,30.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,gini,50.0,0.7698412698412699,0.768595041322314,0.7560975609756098,0.7622950819672131
Decision Tree,entropy,,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,5.0,0.8055555555555556,0.7371794871794872,0.9349593495934959,0.8243727598566308
Decision Tree,entropy,10.0,0.746031746031746,0.7251908396946565,0.7723577235772358,0.7480314960629921
Decision Tree,entropy,15.0,0.746031746031746,0.736,0.7479674796747967,0.7419354838709677
Decision Tree,entropy,20.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,30.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
Decision Tree,entropy,50.0,0.7420634920634921,0.7265625,0.7560975609756098,0.7410358565737052
