Model,n_estimators,Max Depth,Criterion,Accuracy,Precision,Recall,F1 Score
Extra Trees,100,,entropy,0.7976190476190477,0.7857142857142857,0.8048780487804879,0.7951807228915663
Extra Trees,100,10.0,gini,0.7936507936507936,0.7886178861788617,0.7886178861788617,0.7886178861788617
Extra Trees,100,10.0,entropy,0.7857142857142857,0.7851239669421488,0.7723577235772358,0.7786885245901639
Extra Trees,100,20.0,gini,0.8095238095238095,0.7862595419847328,0.8373983739837398,0.8110236220472441
Extra Trees,100,20.0,entropy,0.7936507936507936,0.7709923664122137,0.8211382113821138,0.7952755905511811
Extra Trees,100,30.0,gini,0.7896825396825397,0.7692307692307693,0.8130081300813008,0.7905138339920948
Extra Trees,100,30.0,entropy,0.7976190476190477,0.7857142857142857,0.8048780487804879,0.7951807228915663
Extra Trees,100,40.0,gini,0.7896825396825397,0.7692307692307693,0.8130081300813008,0.7905138339920948
Extra Trees,100,40.0,entropy,0.7976190476190477,0.7857142857142857,0.8048780487804879,0.7951807228915663
Extra Trees,150,,gini,0.7857142857142857,0.7593984962406015,0.8211382113821138,0.7890625
Extra Trees,150,,entropy,0.7896825396825397,0.7777777777777778,0.7967479674796748,0.7871485943775101
Extra Trees,150,10.0,gini,0.7976190476190477,0.8050847457627118,0.7723577235772358,0.7883817427385892
Extra Trees,150,10.0,entropy,0.7896825396825397,0.7868852459016393,0.7804878048780488,0.7836734693877551
Extra Trees,150,20.0,gini,0.8134920634920635,0.7923076923076923,0.8373983739837398,0.8142292490118577
Extra Trees,150,20.0,entropy,0.8055555555555556,0.7846153846153846,0.8292682926829268,0.8063241106719368
Extra Trees,150,30.0,gini,0.7857142857142857,0.7593984962406015,0.8211382113821138,0.7890625
Extra Trees,150,30.0,entropy,0.7896825396825397,0.7777777777777778,0.7967479674796748,0.7871485943775101
Extra Trees,150,40.0,gini,0.7857142857142857,0.7593984962406015,0.8211382113821138,0.7890625
Extra Trees,150,40.0,entropy,0.7896825396825397,0.7777777777777778,0.7967479674796748,0.7871485943775101
Extra Trees,200,,gini,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,,entropy,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,10.0,gini,0.8015873015873016,0.8067226890756303,0.7804878048780488,0.7933884297520661
Extra Trees,200,10.0,entropy,0.7936507936507936,0.7933884297520661,0.7804878048780488,0.7868852459016393
Extra Trees,200,20.0,gini,0.8055555555555556,0.7890625,0.8211382113821138,0.8047808764940239
Extra Trees,200,20.0,entropy,0.7857142857142857,0.7716535433070866,0.7967479674796748,0.784
Extra Trees,200,30.0,gini,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,30.0,entropy,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,40.0,gini,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,40.0,entropy,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,100,,gini,0.7896825396825397,0.7692307692307693,0.8130081300813008,0.7905138339920948
Extra Trees,100,,entropy,0.7976190476190477,0.7857142857142857,0.8048780487804879,0.7951807228915663
Extra Trees,100,10.0,gini,0.7936507936507936,0.7886178861788617,0.7886178861788617,0.7886178861788617
Extra Trees,100,10.0,entropy,0.7857142857142857,0.7851239669421488,0.7723577235772358,0.7786885245901639
Extra Trees,100,20.0,gini,0.8095238095238095,0.7862595419847328,0.8373983739837398,0.8110236220472441
Extra Trees,100,20.0,entropy,0.7936507936507936,0.7709923664122137,0.8211382113821138,0.7952755905511811
Extra Trees,100,30.0,gini,0.7896825396825397,0.7692307692307693,0.8130081300813008,0.7905138339920948
Extra Trees,100,30.0,entropy,0.7976190476190477,0.7857142857142857,0.8048780487804879,0.7951807228915663
Extra Trees,100,40.0,gini,0.7896825396825397,0.7692307692307693,0.8130081300813008,0.7905138339920948
Extra Trees,100,40.0,entropy,0.7976190476190477,0.7857142857142857,0.8048780487804879,0.7951807228915663
Extra Trees,150,,gini,0.7857142857142857,0.7593984962406015,0.8211382113821138,0.7890625
Extra Trees,150,,entropy,0.7896825396825397,0.7777777777777778,0.7967479674796748,0.7871485943775101
Extra Trees,150,10.0,gini,0.7976190476190477,0.8050847457627118,0.7723577235772358,0.7883817427385892
Extra Trees,150,10.0,entropy,0.7896825396825397,0.7868852459016393,0.7804878048780488,0.7836734693877551
Extra Trees,150,20.0,gini,0.8134920634920635,0.7923076923076923,0.8373983739837398,0.8142292490118577
Extra Trees,150,20.0,entropy,0.8055555555555556,0.7846153846153846,0.8292682926829268,0.8063241106719368
Extra Trees,150,30.0,gini,0.7857142857142857,0.7593984962406015,0.8211382113821138,0.7890625
Extra Trees,150,30.0,entropy,0.7896825396825397,0.7777777777777778,0.7967479674796748,0.7871485943775101
Extra Trees,150,40.0,gini,0.7857142857142857,0.7593984962406015,0.8211382113821138,0.7890625
Extra Trees,150,40.0,entropy,0.7896825396825397,0.7777777777777778,0.7967479674796748,0.7871485943775101
Extra Trees,200,,gini,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,,entropy,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,10.0,gini,0.8015873015873016,0.8067226890756303,0.7804878048780488,0.7933884297520661
Extra Trees,200,10.0,entropy,0.7936507936507936,0.7933884297520661,0.7804878048780488,0.7868852459016393
Extra Trees,200,20.0,gini,0.8055555555555556,0.7890625,0.8211382113821138,0.8047808764940239
Extra Trees,200,20.0,entropy,0.7857142857142857,0.7716535433070866,0.7967479674796748,0.784
Extra Trees,200,30.0,gini,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,30.0,entropy,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,40.0,gini,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
Extra Trees,200,40.0,entropy,0.7857142857142857,0.7674418604651163,0.8048780487804879,0.7857142857142857
